22,20,64,0.0,22,22,0.0,22
29,20,79,0.0,29,29,0.0,29
30,20,72,0.0035587188612099642,30,30,0.0035587188612099642,30
26,20,69,0.024637284423761292,26,26,0.024637284423761292,26
7,20,53,0.03736356003358522,7,7,0.03736356003358522,7
31,20,74,0.03849855630413859,31,31,0.03849855630413859,31
101,20,93,0.03885095361431599,101,101,0.03885095361431599,101
98,20,90,0.040501996577296064,98,98,0.040501996577296064,98
27,20,71,0.040957015409570155,27,27,0.040957015409570155,27
102,20,95,0.04204660587639311,102,102,0.04204660587639311,102
5,20,50,0.044423699961561695,5,5,0.044423699961561695,5
41,20,85,0.045039798097456805,41,41,0.045039798097456805,41
14,20,58,0.045667413246458594,14,14,0.045667413246458594,14
44,20,88,0.04578797228852535,44,44,0.04578797228852535,44
0,20,46,0.04592314901593252,0,0,0.04592314901593252,0
16,20,61,0.04692577668009879,16,16,0.04692577668009879,16
43,20,87,0.047207876049063915,43,43,0.047207876049063915,43
6,20,51,0.04769207176813372,6,6,0.04769207176813372,6
15,20,59,0.048321845969433626,15,15,0.048321845969433626,15
100,20,94,0.04911152781498348,100,100,0.04911152781498348,100
10,20,55,0.04978069393431516,10,10,0.04978069393431516,10
42,20,86,0.052148997134670486,42,42,0.052148997134670486,42
40,20,84,0.052224886757260856,40,40,0.052224886757260856,40
38,20,82,0.052262829009657265,38,38,0.052262829009657265,38
8,20,52,0.05245628642797669,8,8,0.05245628642797669,8
19,20,66,0.05273506428031258,19,19,0.05273506428031258,19
39,20,83,0.0527603305785124,39,39,0.0527603305785124,39
36,20,80,0.05277302711947227,36,36,0.05277302711947227,36
23,20,67,0.0533032694475761,23,23,0.0533032694475761,23
24,20,68,0.053358402489626554,24,24,0.053358402489626554,24
99,20,92,0.05357142857142857,99,99,0.05357142857142857,99
2,20,48,0.053914674167838725,2,2,0.053914674167838725,2
17,20,62,0.054343896855042775,17,17,0.054343896855042775,17
3,20,47,0.055248057685471995,3,3,0.055248057685471995,3
37,20,81,0.055290630235855134,37,37,0.055290630235855134,37
21,20,65,0.05556930080657133,21,21,0.05556930080657133,21
28,20,78,0.05629125152394165,28,28,0.05629125152394165,28
18,20,63,0.057333595130571374,18,18,0.057333595130571374,18
25,20,70,0.05799316015426035,25,25,0.05799316015426035,25
97,20,91,0.058135848458429104,97,97,0.058135848458429104,97
33,20,76,0.05822997687618247,33,33,0.05822997687618247,33
32,20,75,0.05895012632169926,32,32,0.05895012632169926,32
96,20,89,0.058959537572254334,96,96,0.058959537572254334,96
35,20,77,0.059481958545434095,35,35,0.059481958545434095,35
4,20,49,0.060261080752884034,4,4,0.060261080752884034,4
9,20,54,0.061716604989853166,9,9,0.061716604989853166,9
1,20,45,0.0625232948192322,1,1,0.0625232948192322,1
11,20,56,0.06484018264840183,11,11,0.06484018264840183,11
34,20,73,0.0693284330103575,34,34,0.0693284330103575,34
13,20,57,0.1111111111111111,13,13,0.1111111111111111,13
12,20,60,0.14285714285714285,12,12,0.14285714285714285,12
